id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1231469172418174977,1231448420323250177,1582440104000,2020-02-23,14:41:44,Malay Peninsula Standard Time,2265739578,lula999999999,🖤🤟_betty choi_🤟,,Deportation na katapat nyan. Tapunan na lang ang pilipinas ng mga bastos at mga wanted na tsekwa. 🤦🏻‍♀️🤦🏻‍♀️ pic.twitter.com/ceR6iuN45q,"['manilapio', 'iskomoreno']",[],[],0,0,1,[],[],https://twitter.com/lula999999999/status/1231469172418174977,False,,1,,"14.611304,121.012901,200km",,,,,"[{'user_id': '2265739578', 'username': 'lula999999999'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
1231336465398824960,1231190900522401793,1582408465000,2020-02-23,05:54:25,Malay Peninsula Standard Time,212560079,ninotobias,Nino Tobias,,Please get architects who are trained in urban planning. Let them design Manila’s urban landscape. Thanks,['manilapio'],[],[],0,0,5,[],[],https://twitter.com/ninotobias/status/1231336465398824960,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '212560079', 'username': 'ninotobias'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}]",,,,
1231200915102658561,1231185869928747008,1582376147000,2020-02-22,20:55:47,Malay Peninsula Standard Time,303599569,x3pol,zepol lopez,,So who's intolerant?,"['manilapio', 'iskomoreno']",[],[],0,0,0,[],[],https://twitter.com/x3pol/status/1231200915102658561,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '303599569', 'username': 'x3pol'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
1231191401922093056,1231187967286210561,1582373879000,2020-02-22,20:17:59,Malay Peninsula Standard Time,931344684625960961,puffpiece_,josh,,"his point stands, bootlickers. maigi pa eh linisin niyo desk ng boss niyo. tapon niyo sa basura yung mga nilalako niya 😛",['manilapio'],[],[],1,0,8,[],[],https://twitter.com/puffpiece_/status/1231191401922093056,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '931344684625960961', 'username': 'puffpiece_'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}]",,,,
1230438337732739072,1230438337732739072,1582194334000,2020-02-20,18:25:34,Malay Peninsula Standard Time,252007401,hashtagronald,ronald,,@ManilaPIO @IskoMoreno https://twitter.com/VicoSotto/status/1230038859099983872 …,"['manilapio', 'iskomoreno']",['https://twitter.com/VicoSotto/status/1230038859099983872'],[],1,0,0,[],[],https://twitter.com/HashtagRonald/status/1230438337732739072,False,https://twitter.com/VicoSotto/status/1230038859099983872,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '252007401', 'username': 'HashtagRonald'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
1229345994233368577,1229298101665419265,1581933899000,2020-02-17,18:04:59,Malay Peninsula Standard Time,33261787,surgfish,"Anthony Lim, MD",,Bakit lahat nakatakip mukha? Pwede naman kung sinu Sino ipresenta at takpan mukha.,"['manilapio', 'iskomoreno']",[],[],0,0,0,[],[],https://twitter.com/surgfish/status/1229345994233368577,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '33261787', 'username': 'surgfish'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
1228689639692591105,1228689639692591105,1581777412000,2020-02-15,22:36:52,Malay Peninsula Standard Time,68155695,_lhndrmrnd,L,,@ManilaPIO @IskoMoreno Dinner sa gitna ng daan. #bagongmaynila pic.twitter.com/XhKBxV10ry,"['manilapio', 'iskomoreno']",[],['https://pbs.twimg.com/media/EQ0ueOkUEAASQV4.jpg'],0,0,0,['#bagongmaynila'],[],https://twitter.com/_lhndrmrnd/status/1228689639692591105,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '68155695', 'username': '_lhndrmrnd'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
1227239210450481154,1227239210450481154,1581431603000,2020-02-11,22:33:23,Malay Peninsula Standard Time,769230950039289856,bingstarsss,jo_belleee 🇵🇭,,"@ManilaPIO @manilagov_ @IskoMoreno  Ask ko lang po... may requirements 
ba pag kukuha ng cedula sa city hall?
Salamat.","['manilapio', 'manilagov_', 'iskomoreno']",[],[],0,0,0,[],[],https://twitter.com/bingstarsss/status/1227239210450481154,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '769230950039289856', 'username': 'bingstarsss'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '1142427950647615489', 'username': 'manilagov_'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
1226823564604493827,1226794018475917313,1581332505000,2020-02-10,19:01:45,Malay Peninsula Standard Time,25049804,paulsalarm,Paul Argamosa,,"Bumalik po yung mga sidewalk vendors sa N. Dela Fuente, malapit sa Trabajo Market. Napipilitan maglakad sa kalsada mga tao.",['manilapio'],[],[],0,0,0,[],[],https://twitter.com/paulsalarm/status/1226823564604493827,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '25049804', 'username': 'paulsalarm'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}]",,,,
1225727790609133569,1225727790609133569,1581071252000,2020-02-07,18:27:32,Malay Peninsula Standard Time,2510266142,supeerjimm,hey,,@ManilaPIO @IskoMoreno YUNG MGA UV DITO SA QUIAPO YUNG NAGPAPAPILA 60 PESOS YUNG BAYAD QUIAPO HANGGANG SM FAIRVIEW DAPAT 45 LANG.,"['manilapio', 'iskomoreno']",[],[],0,0,0,[],[],https://twitter.com/supeerjimm/status/1225727790609133569,False,,0,,"14.611304,121.012901,200km",,,,,"[{'user_id': '2510266142', 'username': 'supeerjimm'}, {'user_id': '1134487806359719938', 'username': 'ManilaPIO'}, {'user_id': '998813499714224128', 'username': 'IskoMoreno'}]",,,,
